rgb_luminance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,patch_background.started,patch_background.stopped,patch_foreground.started,patch_foreground.stopped,patch_test.started,patch_test.stopped,key_response.keys,key_response.rt,key_response.started,key_response.stopped,text_task.started,text_task.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.55,0,0,0,6,27.88907739999999,None,27.88907739999999,None,27.88907739999999,None,left,4.342451400000016,27.95995339999999,None,27.88907739999999,None,32.32889509999998,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.4,0,1,1,3,32.534049099999976,None,32.534049099999976,None,32.534049099999976,None,left,1.7134371999999871,32.604401199999984,None,32.534049099999976,None,34.34253559999999,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.6,0,2,2,7,34.54868859999999,None,34.54868859999999,None,34.54868859999999,None,right,1.4715020999999808,34.6174776,None,34.54868859999999,None,36.112175399999984,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.25,0,3,3,0,36.31481929999998,None,36.31481929999998,None,36.31481929999998,None,left,1.9171077000000025,36.38456869999999,None,36.31481929999998,None,38.324785399999996,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.3,0,4,4,1,38.53351029999999,None,38.53351029999999,None,38.53351029999999,None,left,3.377738700000009,38.6023735,None,38.53351029999999,None,42.003926699999994,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.5,0,5,5,5,42.209092699999985,None,42.209092699999985,None,42.209092699999985,None,right,3.109693700000008,42.279467899999986,None,42.209092699999985,None,45.413306499999976,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.35,0,6,6,2,45.61734319999999,None,45.61734319999999,None,45.61734319999999,None,left,3.1934784999999977,45.68769449999999,None,45.61734319999999,None,48.905332199999975,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.45,0,7,7,4,49.1096278,None,49.1096278,None,49.1096278,None,right,1.9919644000000005,49.180479399999996,None,49.1096278,None,51.19737079999999,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.6,1,0,8,7,51.40047319999999,None,51.40047319999999,None,51.40047319999999,None,right,1.4050335000000018,51.4703126,None,51.40047319999999,None,52.89872789999998,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.4,1,1,9,3,53.10304309999998,None,53.10304309999998,None,53.10304309999998,None,left,1.8719566999999984,53.17250109999998,None,53.10304309999998,None,55.06832889999998,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.35,1,2,10,2,55.27304219999999,None,55.27304219999999,None,55.27304219999999,None,left,2.234761899999995,55.34304479999997,None,55.27304219999999,None,57.601926399999996,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.55,1,3,11,6,57.8060285,None,57.8060285,None,57.8060285,None,right,0.8061203999999975,57.87551429999999,None,57.8060285,None,58.706028299999986,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.25,1,4,12,0,58.91692339999997,None,58.91692339999997,None,58.91692339999997,None,left,1.0721194000000196,58.98527489999998,None,58.91692339999997,None,60.081055299999974,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.3,1,5,13,1,60.28767339999999,None,60.28767339999999,None,60.28767339999999,None,left,1.8601815000000101,60.35705909999999,None,60.28767339999999,None,62.24032509999998,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
